State Name,District,Households_Rural,Population,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
JAMMU & KASHMIR,Kupwara,158438.0,870354.0,51.0,7.2,6.5448,4.6,9.271799999999999,23226.0,23226.0,1927.7580000000003,11357.514
JAMMU & KASHMIR,Kupwara,158438.0,870354.0,50.2,6.9,6.279,4.8,9.282,23226.0,23226.0,1834.854,11822.034
JAMMU & KASHMIR,Kupwara,158438.0,870354.0,42.2,4.5,4.130999999999999,6.6,10.0062,23226.0,23226.0,1114.848,16304.652
JAMMU & KASHMIR,Badgam,160649.0,753745.0,44.5,3.7,3.5964000000000005,6.7,9.5256,27190.0,27190.0,1060.41,22649.27
JAMMU & KASHMIR,Badgam,160649.0,753745.0,43.0,3.5,3.4055,8.1,9.0489,27190.0,27190.0,1033.22,22921.17
JAMMU & KASHMIR,Badgam,160649.0,753745.0,33.2,2.4,2.3543999999999996,17.9,5.9841,27190.0,27190.0,706.94,24579.76
JAMMU & KASHMIR,Leh(Ladakh),36920.0,133487.0,50.8,2.0,1.972,1.7,4.3384,17474.0,17474.0,366.954,15394.594
JAMMU & KASHMIR,Leh(Ladakh),36920.0,133487.0,51.8,1.8,1.7766,2.6,3.2571,17474.0,17474.0,314.532,15796.496000000001
JAMMU & KASHMIR,Leh(Ladakh),36920.0,133487.0,54.2,1.1,1.0857,4.8,0.987,17474.0,17474.0,192.21400000000003,16740.092
JAMMU & KASHMIR,Kargil,40370.0,140802.0,70.5,3.1,2.9884000000000004,1.3,50.9956,7774.0,7774.0,272.09,7525.232
JAMMU & KASHMIR,Kargil,40370.0,140802.0,70.1,2.8,2.7076,2.8,51.0576,7774.0,7774.0,248.76800000000003,7533.006000000001
JAMMU & KASHMIR,Kargil,40370.0,140802.0,67.8,1.2,1.1844,10.8,51.422700000000006,7774.0,7774.0,93.288,7579.65
JAMMU & KASHMIR,Punch,132139.0,476835.0,48.4,2.1,1.7892000000000001,1.1,1.1076000000000001,15269.0,15269.0,366.45599999999996,2091.853
JAMMU & KASHMIR,Punch,132139.0,476835.0,46.7,2.0,1.726,2.7,1.1219,15269.0,15269.0,351.18699999999995,2855.303
JAMMU & KASHMIR,Punch,132139.0,476835.0,27.1,0.7,0.6950999999999999,20.8,1.6881,15269.0,15269.0,122.152,11497.556999999999
JAMMU & KASHMIR,Rajouri,196070.0,642415.0,47.0,2.3,2.0883999999999996,0.9,0.7264,17508.0,17508.0,472.71600000000007,1785.8159999999998
JAMMU & KASHMIR,Rajouri,196070.0,642415.0,45.4,2.3,2.0999,2.0,0.9129999999999999,17508.0,17508.0,455.208,2503.6440000000002
JAMMU & KASHMIR,Rajouri,196070.0,642415.0,17.9,1.7,1.6761999999999997,20.3,4.1412,17508.0,17508.0,297.63599999999997,14969.34
JAMMU & KASHMIR,Kathua,181374.0,616435.0,35.3,3.3,3.2207999999999997,1.3,0.488,33473.0,33473.0,1171.555,4753.166
JAMMU & KASHMIR,Kathua,181374.0,616435.0,34.0,3.3,3.2307,2.2,1.3706,33473.0,33473.0,1138.0819999999999,7397.533
JAMMU & KASHMIR,Kathua,181374.0,616435.0,26.7,3.1,3.0721,7.3,6.3424000000000005,33473.0,33473.0,1037.663,22460.382999999998
JAMMU & KASHMIR,Baramula,210543.0,1008039.0,44.1,5.0,4.845,10.4,9.8838,48932.0,48932.0,2593.396,36356.476
JAMMU & KASHMIR,Baramula,210543.0,1008039.0,42.2,5.0,4.865,13.1,9.243500000000001,48932.0,48932.0,2544.464,37971.231999999996
JAMMU & KASHMIR,Baramula,210543.0,1008039.0,33.4,5.0,4.94,25.6,6.422,48932.0,48932.0,2446.6,45262.1
JAMMU & KASHMIR,Bandipore,80521.0,392232.0,51.3,7.0,6.734,8.3,7.9846,17555.0,17555.0,1299.07,12306.055
JAMMU & KASHMIR,Bandipore,80521.0,392232.0,47.9,6.6,6.369,9.2,8.492,17555.0,17555.0,1211.295,12990.7
JAMMU & KASHMIR,Bandipore,80521.0,392232.0,30.3,4.3,4.2269,13.5,11.4028,17555.0,17555.0,754.865,16554.365
JAMMU & KASHMIR,Srinagar,4518.0,1236829.0,37.3,6.2,6.107,6.7,11.9185,257721.0,257721.0,16236.423,228598.527
JAMMU & KASHMIR,Srinagar,4518.0,1236829.0,22.9,2.2,2.1670000000000003,37.9,4.728,257721.0,257721.0,5669.862000000001,252308.85900000003
JAMMU & KASHMIR,Srinagar,4518.0,1236829.0,22.7,2.1,2.0685000000000002,38.4,4.6295,257721.0,257721.0,5669.862000000001,252824.30099999998
JAMMU & KASHMIR,Ganderbal,63788.0,297446.0,42.4,6.6,5.9928,6.9,8.353599999999998,13558.0,13558.0,1288.01,9422.81
JAMMU & KASHMIR,Ganderbal,63788.0,297446.0,39.2,6.2,5.697800000000001,8.6,7.995299999999999,13558.0,13558.0,1193.104,9870.223999999998
JAMMU & KASHMIR,Ganderbal,63788.0,297446.0,21.4,4.4,4.3164,18.0,5.885999999999999,13558.0,13558.0,610.11,12378.454
JAMMU & KASHMIR,Pulwama,147520.0,560440.0,41.9,4.2,4.1244000000000005,12.6,6.0884,21703.0,21703.0,998.3379999999999,13607.781
JAMMU & KASHMIR,Pulwama,147520.0,560440.0,41.9,4.1,4.0302999999999995,15.1,5.7997000000000005,21703.0,21703.0,954.9320000000001,14389.089
